A1	98
A2	208
A3	197
A4	340
A5	316
A6	306
A7	106
A8	159
A9	237
A10	202
A11	329
A12	332
A13	282
A14	171
A15	79
A16	294
A17	238
A18	121
A19	320
A20	196
A21	220
A22	204
A23	144
A24	112
A25	248
A26	472
A27	276
A28	227
A29	100
A30	122
A31	234
A32	243
A33	188
A34	136
A35	179
A36	189
A37	363
A38	115
A39	312
A40	108
A41	388
A42	449
A43	97
A44	65
A45	167
A46	526
A47	112
A48	206
A49	276
A50	199
A51	105
B1	95
B2	148
B3	58
B4	57
B5	164
B6	167
B7	127
B8	137
B9	63
B10	213
B11	100
B12	82
B13	135
B14	110
B15	88
B16	116
B17	210
B18	81
B19	195
B20	210
B21	100
B22	145
B23	130
B24	179
B25	90
B26	100
B27	100
B28	295
B29	119
B30	95
B31	189
B32	100
B33	74
B34	69
B35	208
B36	112
B37	80
B38	70
B39	298
B40	150
B41	165
B42	336
B43	195
B44	196
B45	125
B46	154
B47	100
B48	177
B49	310
B50	333
B51	128
B52	80
B53	193
B54	239
B55	304
B56	113
B57	598
B58	63
B59	196
B60	147
B61	297
B62	229
B63	187
B64	73
B65	232
B66	289
B67	114
B68	109
B69	90
B70	178
B71	45
B72	319
B73	323
B74	125
B75	189
B76	219
B77	105
B78	216
B79	195
B80	213
B81	285
B82	112
B83	114
B84	199
B85	86
B86	110
B87	100
B88	194
B89	119
B90	98
B91	106
B92	102
B93	184
B94	119
B95	118
B96	116
B97	227
B98	352
B99	119
B100	108
B101	193
B102	293
B103	262
B104	359
B105	117
B106	190
B107	598
B108	114
B109	597
B110	186
B111	504
B112	106
B113	195
B114	78
B115	113
B117	486
B119	108
B120	372
B121	185
B122	114
B123	194
B124	199
B125	382
B126	115
B127	432
B128	352
B129	117
B130	297
B131	308
B132	119
B133	195
B134	216
B135	119
B136	238
B137	203
B138	171
B139	196
B140	274
B141	105
B142	487
B143	308
B144	500
